Datetime : 2021-02-05 18:03:55.463307
Iter: [5000][144/586]	TEST PSNR: ( 35.7043,  34.2239)	val_loss: ( 0.0099,  0.0138)	
Iter: [5000][145/586]	TEST PSNR: ( 33.7298,  34.2205)	val_loss: ( 0.0169,  0.0139)	
Iter: [5000][146/586]	TEST PSNR: ( 34.6439,  34.2234)	val_loss: ( 0.0133,  0.0138)	
Iter: [5000][147/586]	TEST PSNR: ( 34.9967,  34.2286)	val_loss: ( 0.0129,  0.0138)	
Iter: [5000][148/586]	TEST PSNR: ( 34.2607,  34.2288)	val_loss: ( 0.0112,  0.0138)	
Iter: [5000][149/586]	TEST PSNR: ( 32.6707,  34.2185)	val_loss: ( 0.0170,  0.0138)	
Iter: [5000][150/586]	TEST PSNR: ( 33.1043,  34.2111)	val_loss: ( 0.0146,  0.0139)	
Iter: [5000][151/586]	TEST PSNR: ( 34.5475,  34.2133)	val_loss: ( 0.0135,  0.0138)	
Iter: [5000][152/586]	TEST PSNR: ( 33.7273,  34.2101)	val_loss: ( 0.0135,  0.0138)	
Iter: [5000][153/586]	TEST PSNR: ( 31.7035,  34.1938)	val_loss: ( 0.0157,  0.0139)	
Iter: [5000][154/586]	TEST PSNR: ( 35.4679,  34.2021)	val_loss: ( 0.0096,  0.0138)	
Iter: [5000][155/586]	TEST PSNR: ( 34.0620,  34.2012)	val_loss: ( 0.0161,  0.0138)	
Iter: [5000][156/586]	TEST PSNR: ( 34.9867,  34.2062)	val_loss: ( 0.0151,  0.0139)	
Iter: [5000][157/586]	TEST PSNR: ( 36.0184,  34.2176)	val_loss: ( 0.0128,  0.0138)	
Iter: [5000][158/586]	TEST PSNR: ( 35.3539,  34.2248)	val_loss: ( 0.0138,  0.0138)	
Iter: [5000][159/586]	TEST PSNR: ( 34.0040,  34.2234)	val_loss: ( 0.0137,  0.0138)	
Iter: [5000][160/586]	TEST PSNR: ( 33.5858,  34.2194)	val_loss: ( 0.0145,  0.0138)	
Iter: [5000][161/586]	TEST PSNR: ( 34.0614,  34.2185)	val_loss: ( 0.0128,  0.0138)	
Iter: [5000][162/586]	TEST PSNR: ( 35.4479,  34.2260)	val_loss: ( 0.0116,  0.0138)	
Iter: [5000][163/586]	TEST PSNR: ( 36.3108,  34.2387)	val_loss: ( 0.0095,  0.0138)	
Iter: [5000][164/586]	TEST PSNR: ( 34.9497,  34.2430)	val_loss: ( 0.0114,  0.0138)	
Iter: [5000][165/586]	TEST PSNR: ( 32.9716,  34.2354)	val_loss: ( 0.0167,  0.0138)	
Iter: [5000][166/586]	TEST PSNR: ( 34.3425,  34.2360)	val_loss: ( 0.0125,  0.0138)	
Iter: [5000][167/586]	TEST PSNR: ( 33.6951,  34.2328)	val_loss: ( 0.0131,  0.0138)	
Iter: [5000][168/586]	TEST PSNR: ( 32.9502,  34.2252)	val_loss: ( 0.0140,  0.0138)	
Iter: [5000][169/586]	TEST PSNR: ( 36.7283,  34.2399)	val_loss: ( 0.0124,  0.0138)	
Iter: [5000][170/586]	TEST PSNR: ( 32.8867,  34.2320)	val_loss: ( 0.0159,  0.0138)	
Iter: [5000][171/586]	TEST PSNR: ( 32.8316,  34.2239)	val_loss: ( 0.0152,  0.0138)	
Iter: [5000][172/586]	TEST PSNR: ( 37.0717,  34.2403)	val_loss: ( 0.0096,  0.0138)	
Iter: [5000][173/586]	TEST PSNR: ( 32.6241,  34.2310)	val_loss: ( 0.0161,  0.0138)	
Iter: [5000][174/586]	TEST PSNR: ( 32.9289,  34.2236)	val_loss: ( 0.0141,  0.0138)	
Iter: [5000][175/586]	TEST PSNR: ( 32.4928,  34.2138)	val_loss: ( 0.0158,  0.0138)	
Iter: [5000][176/586]	TEST PSNR: ( 33.7078,  34.2109)	val_loss: ( 0.0141,  0.0138)	
Iter: [5000][177/586]	TEST PSNR: ( 33.5868,  34.2074)	val_loss: ( 0.0136,  0.0138)	
Iter: [5000][178/586]	TEST PSNR: ( 33.5756,  34.2039)	val_loss: ( 0.0217,  0.0139)	
Iter: [5000][179/586]	TEST PSNR: ( 34.5648,  34.2059)	val_loss: ( 0.0127,  0.0138)	
Iter: [5000][180/586]	TEST PSNR: ( 31.9391,  34.1934)	val_loss: ( 0.0173,  0.0139)	
Iter: [5000][181/586]	TEST PSNR: ( 33.6215,  34.1902)	val_loss: ( 0.0121,  0.0139)	
Iter: [5000][182/586]	TEST PSNR: ( 33.5351,  34.1866)	val_loss: ( 0.0142,  0.0139)	
Iter: [5000][183/586]	TEST PSNR: ( 34.2999,  34.1872)	val_loss: ( 0.0156,  0.0139)	
Iter: [5000][184/586]	TEST PSNR: ( 31.8748,  34.1747)	val_loss: ( 0.0184,  0.0139)	
Iter: [5000][185/586]	TEST PSNR: ( 33.4616,  34.1709)	val_loss: ( 0.0131,  0.0139)	
Iter: [5000][186/586]	TEST PSNR: ( 36.7299,  34.1846)	val_loss: ( 0.0127,  0.0139)	
Iter: [5000][187/586]	TEST PSNR: ( 32.7275,  34.1768)	val_loss: ( 0.0163,  0.0139)	
